generacja 294, waga 976, wartosc 6517, ocena 9799.5:
generacja 295, waga 978, wartosc 6423, ocena 9656.5:
generacja 296, waga 977, wartosc 6464, ocena 9719:
generacja 297, waga 986, wartosc 6497, ocena 9759.5:
generacja 298, waga 985, wartosc 6591, ocena 9901.5:
generacja 299, waga 979, wartosc 6554, ocena 9852:
generacja 300, waga 986, wartosc 6431, ocena 9660.5:
generacja 301, waga 967, wartosc 6452, ocena 9711:
generacja 302, waga 870, wartosc 6341, ocena 9641.5:
generacja 303, waga 998, wartosc 6441, ocena 9663.5:
generacja 304, waga 949, wartosc 6445, ocena 9718.5:
generacja 305, waga 999, wartosc 6552, ocena 9829:
generacja 306, waga 993, wartosc 6568, ocena 9859:
generacja 307, waga 989, wartosc 6491, ocena 9747.5:
generacja 308, waga 984, wartosc 6526, ocena 9805:
generacja 309, waga 953, wartosc 6449, ocena 9720.5:
generacja 310, waga 994, wartosc 6563, ocena 9850.5:
generacja 311, waga 909, wartosc 6473, ocena 9800.5:
generacja 312, waga 918, wartosc 6436, ocena 9736:
generacja 313, waga 998, wartosc 6516, ocena 9776:
generacja 314, waga 999, wartosc 6525, ocena 9788.5:
generacja 315, waga 976, wartosc 6533, ocena 9823.5:
generacja 316, waga 912, wartosc 6570, ocena 9943:
generacja 317, waga 954, wartosc 6497, ocena 9791.5:
generacja 318, waga 976, wartosc 6527, ocena 9814.5:
generacja 319, waga 962, wartosc 6579, ocena 9906.5:
generacja 320, waga 992, wartosc 6648, ocena 9980:
generacja 321, waga 939, wartosc 6565, ocena 9908.5:
generacja 322, waga 970, wartosc 6588, ocena 9912:
generacja 323, waga 967, wartosc 6507, ocena 9793.5:
generacja 324, waga 996, wartosc 6677, ocena 10019.5:
generacja 325, waga 981, wartosc 6598, ocena 9916:
generacja 326, waga 904, wartosc 6572, ocena 9954:
generacja 327, waga 954, wartosc 6515, ocena 9818.5:
generacja 328, waga 972, wartosc 6531, ocena 9824.5:
generacja 329, waga 960, wartosc 6580, ocena 9910:
generacja 330, waga 973, wartosc 6648, ocena 9999:
generacja 331, waga 988, wartosc 6606, ocena 9921:
generacja 332, waga 977, wartosc 6536, ocena 9827:
generacja 333, waga 995, wartosc 6647, ocena 9975.5:
generacja 334, waga 997, wartosc 6603, ocena 9907.5:
generacja 335, waga 927, wartosc 6535, ocena 9875.5:
